Close Time,BTCUSDT
2019-09-08 23:59:59.999,10391.63
2019-09-09 23:59:59.999,10307.0
2019-09-10 23:59:59.999,10102.02
2019-09-11 23:59:59.999,10159.55
2019-09-12 23:59:59.999,10415.13
2019-09-13 23:59:59.999,10341.34
2019-09-14 23:59:59.999,10332.25
2019-09-15 23:59:59.999,10302.22
2019-09-16 23:59:59.999,10249.27
2019-09-17 23:59:59.999,10186.52
2019-09-18 23:59:59.999,10155.16
2019-09-19 23:59:59.999,10245.3
2019-09-20 23:59:59.999,10166.35
2019-09-21 23:59:59.999,9983.33
2019-09-22 23:59:59.999,10023.04
2019-09-23 23:59:59.999,9701.96
2019-09-24 23:59:59.999,8645.61
2019-09-25 23:59:59.999,8430.07
2019-09-26 23:59:59.999,8060.15
2019-09-27 23:59:59.999,8176.52
2019-09-28 23:59:59.999,8195.38
2019-09-29 23:59:59.999,8041.96
2019-09-30 23:59:59.999,8285.84
2019-10-01 23:59:59.999,8290.0
2019-10-02 23:59:59.999,8352.14
2019-10-03 23:59:59.999,8220.27
2019-10-04 23:59:59.999,8130.56
2019-10-05 23:59:59.999,8122.14
2019-10-06 23:59:59.999,7852.79
2019-10-07 23:59:59.999,8186.88
2019-10-08 23:59:59.999,8167.62
2019-10-09 23:59:59.999,8559.77
2019-10-10 23:59:59.999,8556.02
2019-10-11 23:59:59.999,8255.58
2019-10-12 23:59:59.999,8300.22
2019-10-13 23:59:59.999,8274.66
2019-10-14 23:59:59.999,8346.05
2019-10-15 23:59:59.999,8160.01
2019-10-16 23:59:59.999,7992.21
2019-10-17 23:59:59.999,8069.2
2019-10-18 23:59:59.999,7943.94
2019-10-19 23:59:59.999,7947.13
2019-10-20 23:59:59.999,8218.23
2019-10-21 23:59:59.999,8201.74
2019-10-22 23:59:59.999,8020.89
2019-10-23 23:59:59.999,7465.0
2019-10-24 23:59:59.999,7411.35
2019-10-25 23:59:59.999,8650.0
2019-10-26 23:59:59.999,9232.22
2019-10-27 23:59:59.999,9533.32
2019-10-28 23:59:59.999,9217.36
2019-10-29 23:59:59.999,9415.02
2019-10-30 23:59:59.999,9165.3
2019-10-31 23:59:59.999,9150.0
2019-11-01 23:59:59.999,9231.01
2019-11-02 23:59:59.999,9287.8
2019-11-03 23:59:59.999,9197.88
